source,target,weight,distance
596,38047,1,2125.17
708,38047,1,2064.09
1697,38047,1,1068.15
1918,38047,1,178.59
2406,38047,1,974.95
2667,38047,1,437.74
3726,38047,1,1812.44
3843,38047,1,3088.25
5858,38047,1,567.42
5871,38047,1,494.17
6221,38047,1,533.27
6332,38047,1,488.21
6342,38047,1,461.28
7145,38047,1,166.48
7988,38047,1,507.53
8253,38047,1,205.75
8451,38047,1,367.89
8723,38047,1,888.49
11039,38047,1,1313.67
13653,38047,1,407.95
13707,38047,1,182.26
13897,38047,1,587.84
13919,38047,1,1397.34
14071,38047,1,978.13
14144,38047,1,430.04
14164,38047,1,587.64
14178,38047,1,358.19
14627,38047,1,1050.84
14708,38047,1,481.68
14988,38047,1,158.1
15038,38047,1,762.42
15048,38047,1,336.06
15057,38047,1,602.2
15068,38047,1,333.27
15078,38047,1,211.77
15089,38047,1,166.34
15278,38047,1,710.93
15347,38047,1,705.62
15469,38047,1,1076.65
15724,38047,1,138.39
15867,38047,1,625.38
16265,38047,1,929.65
16328,38047,1,209.7
16384,38047,1,170.91
17673,38047,1,1982.43
17747,38047,1,1162.79
18929,38047,1,343.07
19859,38047,1,156.96
23107,38047,1,1206.94
23294,38047,1,100.88
26302,38047,1,592.67
26564,38047,1,263.89
26600,38047,1,1545.98
26612,38047,1,1488.09
26834,38047,1,212.19
27622,38047,1,120.04
28330,38047,1,234.59
29387,38047,1,989.38
30302,38047,1,187.03
30544,38047,1,470.96
32466,38047,1,189.95
32738,38047,1,299.64
35048,38047,1,101.22
35167,38047,1,654.08
35747,38047,1,146.32
35977,38047,1,916.27
36078,38047,1,303.33
37823,38047,1,2492.61
38047,38048,1,2.02
