source,target,weight,distance
596,38047,1,2125.17
708,38047,1,2064.09
1697,38047,1,1068.15
1918,38047,1,178.59
2406,38047,1,974.95
2667,38047,1,437.74
3726,38047,1,1812.44
3843,38047,1,3088.25
5858,38047,1,567.42
5859,38047,1,567.42
5862,38047,1,567.42
5864,38047,1,567.42
5871,38047,1,494.17
5873,38047,1,358.37
5877,38047,1,358.37
6221,38047,1,533.27
6224,38047,1,444.5
6227,38047,1,444.5
6228,38047,1,444.5
6332,38047,1,488.21
6333,38047,1,488.21
6342,38047,1,461.28
6346,38047,1,461.28
6348,38047,1,461.28
7145,38047,1,166.48
7148,38047,1,166.48
7149,38047,1,166.48
7988,38047,1,507.53
7989,38047,1,507.53
7992,38047,1,507.53
7994,38047,1,507.53
8253,38047,1,205.75
8451,38047,1,367.89
8453,38047,1,549.95
8454,38047,1,367.89
8455,38047,1,194.23
8456,38047,1,367.89
8723,38047,1,888.49
8725,38047,1,888.49
11039,38047,1,1313.67
11041,38047,1,1313.67
11044,38047,1,1312.68
11045,38047,1,1313.67
13653,38047,1,407.95
13707,38047,1,182.26
13711,38047,1,182.26
13712,38047,1,182.26
13897,38047,1,587.84
13899,38047,1,587.84
13901,38047,1,587.84
13919,38047,1,1397.34
13920,38047,1,1397.34
13922,38047,1,1397.34
13923,38047,1,1397.34
14071,38047,1,978.13
14144,38047,1,430.04
14147,38047,1,430.04
14149,38047,1,430.04
14164,38047,1,587.64
14165,38047,1,587.64
14167,38047,1,587.64
14178,38047,1,358.19
14179,38047,1,358.19
14183,38047,1,358.19
14184,38047,1,846.56
14627,38047,1,1050.84
14708,38047,1,481.68
14712,38047,1,481.68
14713,38047,1,664.07
14988,38047,1,158.1
14990,38047,1,158.1
15038,38047,1,762.42
15039,38047,1,762.42
15048,38047,1,336.06
15057,38047,1,602.2
15061,38047,1,602.2
15068,38047,1,333.27
15070,38047,1,323.64
15073,38047,1,323.64
15078,38047,1,211.77
15080,38047,1,211.77
15081,38047,1,211.77
15089,38047,1,166.34
15092,38047,1,166.34
15278,38047,1,710.93
15347,38047,1,705.62
15469,38047,1,1076.65
15471,38047,1,1258.4
15472,38047,1,1076.65
15473,38047,1,1145.26
15476,38047,1,1217.44
15724,38047,1,138.39
15728,38047,1,379.81
15729,38047,1,138.39
15730,38047,1,138.39
15867,38047,1,625.38
15869,38047,1,627.45
15870,38047,1,627.45
16265,38047,1,929.65
16328,38047,1,209.7
16329,38047,1,209.7
16330,38047,1,209.7
16384,38047,1,170.91
16385,38047,1,170.91
16388,38047,1,170.91
17673,38047,1,1982.43
17676,38047,1,2067.01
17682,38047,1,2098.8
17747,38047,1,1162.79
17748,38047,1,1162.79
17751,38047,1,1132.93
17755,38047,1,1162.79
18929,38047,1,343.07
18931,38047,1,343.07
19859,38047,1,156.96
19861,38047,1,197.2
19863,38047,1,156.96
19865,38047,1,274.42
19866,38047,1,156.96
23107,38047,1,1206.94
23294,38047,1,100.88
23298,38047,1,115.12
23299,38047,1,115.12
23303,38047,1,115.12
26302,38047,1,592.67
26305,38047,1,592.67
26308,38047,1,824.25
26564,38047,1,263.89
26567,38047,1,263.89
26574,38047,1,263.89
26600,38047,1,1545.98
26607,38047,1,1545.98
26608,38047,1,1545.98
26612,38047,1,1488.09
26834,38047,1,212.19
26837,38047,1,37.04
26838,38047,1,211.25
27622,38047,1,120.04
28330,38047,1,234.59
28332,38047,1,234.59
28334,38047,1,589.33
28337,38047,1,234.59
28339,38047,1,549.02
29387,38047,1,989.38
29388,38047,1,861.44
29392,38047,1,989.38
29394,38047,1,989.38
29396,38047,1,882.79
29397,38047,1,1054.15
30302,38047,1,187.03
30303,38047,1,187.03
30304,38047,1,150.16
30308,38047,1,187.03
30311,38047,1,187.03
30544,38047,1,470.96
30545,38047,1,470.96
30546,38047,1,470.96
30548,38047,1,726.21
32466,38047,1,189.95
32738,38047,1,299.64
32740,38047,1,299.64
32744,38047,1,299.64
35048,38047,1,101.22
35055,38047,1,244.19
35056,38047,1,244.19
35057,38047,1,244.19
35167,38047,1,654.08
35747,38047,1,146.32
35977,38047,1,916.27
36078,38047,1,303.33
37823,38047,1,2492.61
38047,38048,1,2.02
