id,st_mass,pl_dens,pl_insol,st_met,planet_name,pl_eqt,size,st_rad,pl_orbper,pl_orbsmax,st_teff,pl_orbeccen,color,label
596,0.68,1.3,0.1,-0.3,,795.0,6.800000000000001,0.5,257.8,0.698,3717.0,0.32,#6384eb,Planet 596
708,0.51,1.3,0.28,-0.14,,202.0,5.1,0.5,140.43,0.422,3728.0,0.45,#6384eb,Planet 708
1697,1.04,1.3,0.16,0.18,,176.0,10.4,1.04,1422.0,2.504,5670.0,0.083,#6384eb,Planet 1697
1918,0.98,1.3,0.71,0.05,,259.0,9.8,1.09,520.1,1.259,5694.0,0.338,#6384eb,Planet 1918
2406,0.87,1.3,0.16,0.16,,159.0,8.7,1.0,1201.1,2.115,5293.0,0.126,#6384eb,Planet 2406
2667,0.81,1.3,0.99,-0.15,,278.0,8.100000000000001,0.94,284.0,0.812,5348.0,0.03,#6384eb,Planet 2667
3726,1.09,1.3,0.1,0.11,,156.0,10.9,1.09,2172.0,3.386,5722.0,0.043,#6384eb,Planet 3726
3843,0.69,1.3,0.01,-0.22,,795.0,6.8999999999999995,0.66,3250.0,3.81,4799.0,0.04,#6384eb,Planet 3843
5858,1.03,1.3,2.14,-0.38,,308.0,10.3,1.39,440.7843755,1.1455,6340.0,0.0,#6384eb,Planet 5858
5859,1.03,1.3,2.14,-0.38,,308.0,10.3,1.39,440.786134,1.1455,6340.0,0.0,#6384eb,Planet 5859
5862,1.03,1.3,2.14,-0.38,,308.0,10.3,1.39,440.786134,1.1455,6340.0,0.0,#6384eb,Planet 5862
5864,1.03,1.3,2.14,-0.38,,308.0,10.3,1.39,440.786134,1.1455,6340.0,0.0,#6384eb,Planet 5864
5871,1.13,1.3,1.15,0.0,,264.0,11.299999999999999,1.3,572.376632,1.4062,6226.0,0.0,#6384eb,Planet 5871
5873,0.96,1.3,0.69,-0.28,,232.0,9.6,1.01,572.383277,1.3337,6065.0,0.0,#6384eb,Planet 5873
5877,0.96,1.3,0.69,-0.28,,232.0,9.6,1.01,572.383277,1.3337,6065.0,0.0,#6384eb,Planet 5877
6221,1.08,0.51,2.49,0.11,,795.0,10.8,1.14,284.215,0.1006,5922.0,0.0,#4a63d3,Planet 6221
6224,1.03,1.3,1.68,-0.3,,290.0,10.3,0.96,284.060953,0.8539,6215.0,0.0,#6384eb,Planet 6224
6227,1.03,1.3,1.68,-0.3,,290.0,10.3,0.96,284.060953,0.8539,6215.0,0.0,#6384eb,Planet 6227
6228,1.03,1.3,1.68,-0.3,,290.0,10.3,0.96,284.060953,0.8539,6215.0,0.0,#6384eb,Planet 6228
6332,0.97,1.3,3.2,-0.4,,341.0,9.7,1.05,210.6031105,0.6856,6238.0,0.0,#6384eb,Planet 6332
6333,0.97,1.3,3.2,-0.4,,341.0,9.7,1.05,210.6031105,0.6856,6238.0,0.0,#6384eb,Planet 6333
6342,0.97,1.3,1.75,-0.4,,293.0,9.7,1.05,331.6011081,0.9279,6238.0,0.0,#6384eb,Planet 6342
6346,0.97,1.3,1.75,-0.4,,293.0,9.7,1.05,331.6011081,0.9279,6238.0,0.0,#6384eb,Planet 6346
6348,0.97,1.3,1.75,-0.4,,293.0,9.7,1.05,331.6011081,0.9279,6238.0,0.0,#6384eb,Planet 6348
7145,0.82,1.3,1.83,-0.5,,297.0,8.2,0.84,201.1214,0.6291,5804.0,0.0,#6384eb,Planet 7145
7148,0.82,1.3,1.83,-0.5,,297.0,8.2,0.84,201.1214,0.6291,5804.0,0.0,#6384eb,Planet 7148
7149,0.82,1.3,1.83,-0.5,,297.0,8.2,0.84,201.1214,0.6291,5804.0,0.0,#6384eb,Planet 7149
7988,0.73,1.3,1.2,-0.4,,267.0,7.3,0.75,187.747029,0.5791,5303.0,0.0,#6384eb,Planet 7988
7989,0.73,1.3,1.2,-0.4,,267.0,7.3,0.75,187.747029,0.5791,5303.0,0.0,#6384eb,Planet 7989
7992,0.73,1.3,1.2,-0.4,,267.0,7.3,0.75,187.747029,0.5791,5303.0,0.0,#6384eb,Planet 7992
7994,0.73,1.3,1.2,-0.4,,267.0,7.3,0.75,187.746606,0.5791,5303.0,0.0,#6384eb,Planet 7994
8253,1.12,3.42,2.48,0.237,,352.0,11.200000000000001,1.15,224.77833,0.751,5914.0,0.176,#adc9fd,Planet 8253
8451,0.94,1.3,2.07,-0.5,,306.0,9.399999999999999,0.84,199.664537,0.6541,6106.0,0.0,#6384eb,Planet 8451
8453,0.79,1.3,2.0,-0.41,,795.0,7.9,0.91,199.664537,0.61912,5644.0,0.0,#6384eb,Planet 8453
8454,0.94,1.3,2.07,-0.5,,306.0,9.399999999999999,0.84,199.664537,0.6541,6106.0,0.0,#6384eb,Planet 8454
8455,0.79,1.3,2.06,-0.4,,305.0,7.9,0.92,199.66876,0.6193,5678.0,0.0,#6384eb,Planet 8455
8456,0.94,1.3,2.07,-0.5,,306.0,9.399999999999999,0.84,199.664537,0.6541,6106.0,0.0,#6384eb,Planet 8456
8723,0.67,1.3,0.66,-0.4,,230.0,6.7,0.68,210.630591,0.605,4905.0,0.0,#6384eb,Planet 8723
8725,0.67,1.3,0.66,-0.4,,230.0,6.7,0.68,210.630591,0.605,4905.0,0.0,#6384eb,Planet 8725
11039,0.66,1.3,0.39,-0.2,,202.0,6.6000000000000005,0.64,213.257663,0.6085,4476.0,0.0,#6384eb,Planet 11039
11041,0.66,1.3,0.39,-0.2,,202.0,6.6000000000000005,0.64,213.257663,0.6085,4476.0,0.0,#6384eb,Planet 11041
11044,0.66,1.3,0.39,-0.2,,202.0,6.6000000000000005,0.64,213.258526,0.6085,4477.0,0.0,#6384eb,Planet 11044
11045,0.66,1.3,0.39,-0.2,,202.0,6.6000000000000005,0.64,213.257663,0.6085,4476.0,0.0,#6384eb,Planet 11045
13653,1.2,4.82,3.23,0.119,,388.0,12.0,1.29,217.83184,0.753,6145.0,0.401,#d8dce2,Planet 13653
13707,0.97,1.3,1.52,-0.2,,283.0,9.7,0.89,240.7989397,0.7509,5911.0,0.0,#6384eb,Planet 13707
13711,0.97,1.3,1.52,-0.2,,283.0,9.7,0.89,240.7989397,0.7509,5911.0,0.0,#6384eb,Planet 13711
13712,0.97,1.3,1.52,-0.2,,283.0,9.7,0.89,240.7989397,0.7509,5911.0,0.0,#6384eb,Planet 13712
13897,1.08,1.3,1.86,-0.26,,298.0,10.8,1.03,308.5471,0.9191,6363.0,0.0,#6384eb,Planet 13897
13899,1.08,1.3,1.86,-0.26,,298.0,10.8,1.03,308.5471,0.9191,6363.0,0.0,#6384eb,Planet 13899
13901,1.08,1.3,1.86,-0.26,,298.0,10.8,1.03,308.5471,0.9191,6363.0,0.0,#6384eb,Planet 13901
13919,0.62,1.3,0.18,-0.26,,166.0,6.2,0.63,364.758031,0.8507,4386.0,0.0,#6384eb,Planet 13919
13920,0.62,1.3,0.18,-0.26,,166.0,6.2,0.63,364.758031,0.8507,4386.0,0.0,#6384eb,Planet 13920
13922,0.62,1.3,0.18,-0.26,,166.0,6.2,0.63,364.751562,0.8507,4386.0,0.0,#6384eb,Planet 13922
13923,0.62,1.3,0.18,-0.26,,166.0,6.2,0.63,364.758031,0.8507,4386.0,0.0,#6384eb,Planet 13923
14071,0.74,1.3,0.82,-0.08,,269.0,7.4,0.71,168.8116,0.5421,4820.0,0.0,#6384eb,Planet 14071
14144,1.03,1.3,2.24,-0.26,,312.0,10.3,0.96,225.582809,0.7333,6184.0,0.0,#6384eb,Planet 14144
14147,1.03,1.3,2.24,-0.26,,312.0,10.3,0.96,225.582809,0.7333,6184.0,0.0,#6384eb,Planet 14147
14149,1.03,1.3,2.24,-0.26,,312.0,10.3,0.96,225.582809,0.7333,6184.0,0.0,#6384eb,Planet 14149
14164,0.71,1.3,0.94,-0.54,,251.0,7.1,0.68,184.771853,0.568,5220.0,0.0,#6384eb,Planet 14164
14165,0.71,1.3,0.94,-0.54,,251.0,7.1,0.68,184.771853,0.568,5220.0,0.0,#6384eb,Planet 14165
14167,0.71,1.3,0.94,-0.54,,251.0,7.1,0.68,184.771853,0.568,5220.0,0.0,#6384eb,Planet 14167
14178,0.83,1.3,1.19,-0.28,,266.0,8.299999999999999,0.76,198.088774,0.6259,5462.0,0.0,#6384eb,Planet 14178
14179,0.83,1.3,1.19,-0.28,,266.0,8.299999999999999,0.76,198.088774,0.6259,5462.0,0.0,#6384eb,Planet 14179
14183,0.83,1.3,1.19,-0.28,,266.0,8.299999999999999,0.76,198.088774,0.6259,5462.0,0.0,#6384eb,Planet 14183
14184,0.72,1.3,1.1,-0.46,,795.0,7.199999999999999,0.79,198.088774,0.59527,5121.0,0.0,#6384eb,Planet 14184
14627,0.72,1.3,0.71,-0.1,,260.0,7.199999999999999,0.7,174.5085,0.546,4745.0,0.0,#6384eb,Planet 14627
